Primary Type,Location Description,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09
DANGEROUS WEAPONS,ABANDONED BUILDING,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,
DANGEROUS WEAPONS,AIRPORT TERMINAL,,2.0,1.0,,1.0,1.0,2.0,,,1.0,1.0,4.0,,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,,2.0,1.0,3.0,1.0,,6.0,5.0,4.0,3.0,2.0,2.0,4.0,1.0,5.0,9.0,4.0,2.0,8.0,7.0,4.0,5.0,7.0,,5.0,5.0,2.0,9.0,8.0,3.0,3.0,4.0,6.0,6.0,7.0,7.0,3.0,4.0,3.0,8.0,6.0,6.0,8.0,7.0,10.0,9.0,22.0,17.0,33.0,23.0,22.0,29.0,25.0,22.0,35.0
DANGEROUS WEAPONS,BANK,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,
DANGEROUS WEAPONS,BAR/NIGHT CLUB,1.0,1.0,1.0,1.0,3.0,2.0,,1.0,1.0,,2.0,4.0,2.0,3.0,,2.0,,1.0,1.0,2.0,,2.0,1.0,1.0,3.0,1.0,2.0,,2.0,,1.0,,2.0,4.0,1.0,2.0,2.0,4.0,1.0,5.0,,3.0,1.0,,2.0,1.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,,1.0,2.0,,4.0,,4.0,2.0,2.0,2.0,,,,2.0,2.0,1.0,,1.0,3.0,7.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0
DANGEROUS WEAPONS,BEAUTY & NAIL SALON,,1.0,,,1.0,,,,1.0,1.0,,1.0,2.0,,2.0,,,1.0,,,,,,2.0,,,,,,2.0,2.0,,3.0,,,1.0,,,2.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,2.0,,
DANGEROUS WEAPONS,BRIDGE,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,1.0,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,1.0,,1.0,,
DANGEROUS WEAPONS,BUS (NYC TRANSIT),,,,,,1.0,,,,3.0,,1.0,,,,,,,,,,,2.0,,2.0,,2.0,,,2.0,2.0,,,,,,2.0,2.0,1.0,2.0,,,1.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,3.0,,,,3.0,,1.0,4.0,1.0,,1.0,1.0,1.0,,1.0,
DANGEROUS WEAPONS,BUS (OTHER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,
DANGEROUS WEAPONS,BUS STOP,,,,,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,2.0,,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,1.0,,1.0,,,
DANGEROUS WEAPONS,BUS TERMINAL,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,2.0,,,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,
DANGEROUS WEAPONS,CANDY STORE,1.0,1.0,,,,,,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,4.0,,1.0,1.0,1.0,1.0,2.0,,
DANGEROUS WEAPONS,CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
DANGEROUS WEAPONS,CHAIN STORE,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,3.0,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,,2.0,,,1.0,2.0,,,,,,,2.0,,,,3.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0
DANGEROUS WEAPONS,CHECK CASHING BUSINESS,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0
DANGEROUS WEAPONS,CHURCH,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,
DANGEROUS WEAPONS,CLOTHING/BOUTIQUE,,,,,1.0,,,1.0,,,,1.0,,,,,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,2.0,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,1.0,
DANGEROUS WEAPONS,COMMERCIAL BUILDING,,3.0,,1.0,2.0,2.0,1.0,1.0,2.0,,2.0,2.0,1.0,,2.0,1.0,,1.0,3.0,1.0,1.0,2.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,,3.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,4.0,1.0,3.0,2.0,2.0,2.0,,,1.0,,1.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,,1.0
DANGEROUS WEAPONS,CONSTRUCTION SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,1.0,
DANGEROUS WEAPONS,DEPARTMENT STORE,1.0,,,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,4.0,,1.0,2.0,,,,,,,,,1.0,1.0,,,1.0,,,1.0,3.0,,3.0,,1.0,1.0,,1.0,,,2.0,,,1.0,,,,1.0,1.0,,,,,,2.0,,,,,1.0,,3.0,3.0,1.0,3.0,1.0,,,
DANGEROUS WEAPONS,DOCTOR/DENTIST OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
DANGEROUS WEAPONS,DRUG STORE,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,3.0,,1.0,1.0,,1.0,,,1.0
DANGEROUS WEAPONS,DRY CLEANER/LAUNDRY,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,2.0,,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,2.0,,,,,,1.0,
DANGEROUS WEAPONS,FACTORY/WAREHOUSE,2.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
DANGEROUS WEAPONS,FAST FOOD,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,,,2.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,3.0,2.0,2.0,2.0,1.0,,2.0,1.0,,1.0,4.0,1.0,4.0,3.0,1.0,3.0,4.0,,1.0,6.0,
DANGEROUS WEAPONS,FERRY/FERRY TERMINAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,
DANGEROUS WEAPONS,FOOD SUPERMARKET,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,2.0,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,2.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,3.0,,,,,,,1.0,,,2.0,1.0,1.0,,,,,1.0,,,,2.0,,2.0,1.0,1.0,1.0,,,4.0
DANGEROUS WEAPONS,GAS STATION,,,1.0,,,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,2.0,,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,1.0,2.0,1.0
DANGEROUS WEAPONS,GROCERY/BODEGA,2.0,1.0,1.0,4.0,1.0,,3.0,2.0,1.0,5.0,2.0,2.0,3.0,5.0,3.0,1.0,2.0,1.0,6.0,2.0,5.0,3.0,7.0,2.0,,4.0,6.0,2.0,,1.0,3.0,2.0,6.0,5.0,,6.0,5.0,6.0,5.0,6.0,4.0,1.0,5.0,1.0,3.0,2.0,5.0,5.0,5.0,6.0,4.0,10.0,4.0,5.0,5.0,3.0,8.0,4.0,3.0,2.0,4.0,3.0,5.0,4.0,8.0,3.0,7.0,5.0,4.0,4.0,3.0,5.0,4.0,6.0,7.0,12.0,7.0,10.0,6.0,6.0,8.0
DANGEROUS WEAPONS,GYM/FITNESS FACILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANGEROUS WEAPONS,HIGHWAY/PARKWAY,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,2.0,1.0,,1.0,,1.0,,,1.0,,1.0,2.0,,1.0,2.0,1.0,1.0,,,1.0,,,1.0,3.0,,,,2.0,,1.0,,2.0,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,2.0,,4.0,
DANGEROUS WEAPONS,HOSPITAL,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,2.0,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,1.0,2.0,,,1.0,,3.0,,1.0
DANGEROUS WEAPONS,HOTEL/MOTEL,1.0,,,,,,1.0,,2.0,,1.0,,,,1.0,,,1.0,1.0,2.0,,1.0,,,2.0,,,,,1.0,,,2.0,,,,2.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,,2.0,3.0,,1.0,,1.0,,,,1.0,,,,,2.0,2.0,3.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,2.0,5.0,1.0,1.0
DANGEROUS WEAPONS,JEWELRY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANGEROUS WEAPONS,LIQUOR STORE,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,,,,1.0,,1.0,,,,
DANGEROUS WEAPONS,MARINA/PIER,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
DANGEROUS WEAPONS,OPEN AREAS (OPEN LOTS),1.0,1.0,,1.0,1.0,,,,,,,,3.0,1.0,1.0,,3.0,1.0,1.0,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,1.0,3.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,,2.0,2.0
DANGEROUS WEAPONS,OTHER,10.0,7.0,9.0,7.0,8.0,4.0,9.0,15.0,12.0,4.0,6.0,3.0,4.0,8.0,7.0,9.0,12.0,12.0,9.0,6.0,8.0,7.0,7.0,9.0,8.0,5.0,11.0,2.0,11.0,10.0,4.0,13.0,12.0,9.0,8.0,5.0,14.0,8.0,8.0,11.0,12.0,7.0,6.0,10.0,4.0,8.0,11.0,13.0,8.0,5.0,6.0,5.0,11.0,10.0,7.0,7.0,9.0,5.0,5.0,2.0,5.0,4.0,6.0,5.0,13.0,7.0,10.0,11.0,5.0,10.0,9.0,4.0,13.0,11.0,20.0,16.0,15.0,22.0,19.0,17.0,19.0
DANGEROUS WEAPONS,OTHER HOUSE OF WORSHIP,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
DANGEROUS WEAPONS,PARK/PLAYGROUND,1.0,1.0,5.0,9.0,9.0,10.0,13.0,9.0,4.0,8.0,2.0,4.0,1.0,,1.0,4.0,7.0,11.0,9.0,5.0,6.0,8.0,7.0,5.0,3.0,9.0,5.0,3.0,7.0,4.0,13.0,5.0,6.0,5.0,3.0,4.0,2.0,3.0,5.0,4.0,11.0,10.0,12.0,16.0,13.0,6.0,6.0,2.0,5.0,2.0,2.0,7.0,6.0,5.0,8.0,9.0,7.0,5.0,2.0,,1.0,1.0,3.0,7.0,9.0,8.0,10.0,15.0,10.0,12.0,2.0,5.0,10.0,10.0,20.0,18.0,19.0,20.0,9.0,39.0,26.0
DANGEROUS WEAPONS,PARKING LOT/GARAGE (PRIVATE),1.0,1.0,,,2.0,1.0,,1.0,,4.0,2.0,,1.0,1.0,,3.0,,1.0,1.0,,,1.0,2.0,1.0,,,,1.0,3.0,,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,,1.0,,1.0,1.0,,,1.0,,2.0,2.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0,3.0,,1.0,1.0,1.0,4.0,4.0,5.0,,1.0,2.0,,1.0,
DANGEROUS WEAPONS,PARKING LOT/GARAGE (PUBLIC),,,3.0,,1.0,1.0,2.0,4.0,2.0,2.0,,1.0,2.0,,1.0,2.0,1.0,2.0,,,,2.0,2.0,,,,,2.0,3.0,1.0,4.0,2.0,1.0,1.0,,2.0,1.0,1.0,,,3.0,1.0,2.0,2.0,1.0,,3.0,,2.0,,2.0,2.0,,,,1.0,3.0,1.0,1.0,,1.0,2.0,,2.0,3.0,2.0,2.0,,,1.0,1.0,,1.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,7.0
DANGEROUS WEAPONS,PHOTO/COPY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANGEROUS WEAPONS,PRIVATE/PAROCHIAL SCHOOL,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,
DANGEROUS WEAPONS,PUBLIC BUILDING,2.0,2.0,2.0,6.0,3.0,1.0,,2.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,10.0,4.0,6.0,4.0,2.0,3.0,1.0,3.0,5.0,2.0,1.0,7.0,3.0,2.0,5.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,6.0,4.0,1.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,2.0,,2.0,,3.0,1.0,1.0,4.0,1.0,,4.0,,1.0,1.0,1.0,,3.0,2.0,,,1.0,1.0,2.0,3.0,3.0,4.0,6.0,3.0,1.0,2.0,2.0,3.0,7.0
DANGEROUS WEAPONS,PUBLIC SCHOOL,,3.0,1.0,,2.0,1.0,1.0,1.0,3.0,2.0,4.0,,1.0,1.0,2.0,2.0,1.0,1.0,,,2.0,,2.0,2.0,4.0,2.0,,1.0,2.0,,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,,,,1.0,1.0,1.0,3.0,2.0,,,1.0,1.0,1.0,2.0,1.0,,,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,,,,,1.0,1.0,3.0,2.0,7.0,1.0,14.0,8.0,16.0,4.0,2.0,3.0,8.0
DANGEROUS WEAPONS,RESIDENCE - APT. HOUSE,62.0,46.0,60.0,41.0,53.0,57.0,52.0,52.0,60.0,63.0,52.0,40.0,58.0,52.0,63.0,61.0,53.0,58.0,39.0,48.0,47.0,55.0,51.0,48.0,69.0,47.0,58.0,52.0,71.0,52.0,63.0,74.0,48.0,56.0,61.0,44.0,85.0,61.0,47.0,57.0,62.0,44.0,45.0,60.0,39.0,66.0,47.0,54.0,61.0,44.0,56.0,51.0,51.0,49.0,48.0,46.0,33.0,50.0,39.0,40.0,72.0,46.0,50.0,49.0,53.0,44.0,54.0,53.0,36.0,52.0,52.0,44.0,90.0,91.0,82.0,93.0,78.0,81.0,60.0,85.0,65.0
DANGEROUS WEAPONS,RESIDENCE - PUBLIC HOUSING,54.0,29.0,53.0,51.0,41.0,40.0,46.0,47.0,48.0,39.0,41.0,32.0,48.0,28.0,36.0,39.0,38.0,39.0,41.0,31.0,44.0,37.0,40.0,42.0,40.0,43.0,42.0,30.0,53.0,46.0,45.0,40.0,61.0,40.0,38.0,38.0,47.0,31.0,48.0,30.0,46.0,28.0,31.0,36.0,27.0,30.0,30.0,31.0,34.0,33.0,35.0,40.0,49.0,44.0,47.0,43.0,25.0,44.0,31.0,16.0,53.0,35.0,41.0,43.0,41.0,54.0,31.0,64.0,47.0,41.0,38.0,33.0,122.0,100.0,108.0,125.0,124.0,104.0,86.0,127.0,108.0
DANGEROUS WEAPONS,RESIDENCE-HOUSE,25.0,12.0,20.0,30.0,19.0,19.0,17.0,17.0,12.0,27.0,23.0,12.0,28.0,22.0,16.0,23.0,23.0,17.0,21.0,12.0,32.0,24.0,20.0,22.0,22.0,20.0,18.0,23.0,29.0,22.0,27.0,27.0,25.0,19.0,19.0,20.0,30.0,26.0,21.0,18.0,27.0,21.0,31.0,29.0,28.0,22.0,23.0,20.0,23.0,16.0,23.0,19.0,23.0,22.0,23.0,20.0,19.0,12.0,22.0,19.0,15.0,18.0,16.0,21.0,14.0,18.0,25.0,17.0,27.0,19.0,19.0,18.0,25.0,25.0,36.0,30.0,34.0,27.0,22.0,30.0,34.0
DANGEROUS WEAPONS,RESTAURANT/DINER,2.0,1.0,,1.0,2.0,1.0,3.0,,,1.0,,,5.0,2.0,,1.0,,1.0,,4.0,1.0,3.0,2.0,2.0,3.0,,1.0,1.0,1.0,2.0,,1.0,,2.0,1.0,1.0,,,3.0,4.0,1.0,,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,4.0,1.0,3.0,2.0,3.0,1.0,1.0,,1.0,,6.0,2.0,2.0,,2.0,3.0,3.0,1.0,1.0,6.0,,5.0,2.0,2.0,2.0,1.0,5.0,1.0
DANGEROUS WEAPONS,SHOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANGEROUS WEAPONS,SMALL MERCHANT,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,2.0,,,1.0,,
DANGEROUS WEAPONS,SOCIAL CLUB/POLICY,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0
DANGEROUS WEAPONS,STORAGE FACILITY,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,1.0,,
DANGEROUS WEAPONS,STORE UNCLASSIFIED,1.0,,,2.0,1.0,,,1.0,,1.0,,,,,,,,1.0,,1.0,2.0,,,,,1.0,1.0,,1.0,,,2.0,2.0,2.0,2.0,,5.0,,,2.0,1.0,,1.0,1.0,,1.0,,,,,,2.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,4.0,,,,,,1.0,1.0
DANGEROUS WEAPONS,STREET,343.0,251.0,285.0,311.0,282.0,261.0,293.0,298.0,262.0,311.0,219.0,157.0,262.0,257.0,236.0,279.0,267.0,256.0,270.0,237.0,247.0,205.0,227.0,265.0,231.0,227.0,239.0,237.0,253.0,218.0,260.0,241.0,224.0,278.0,204.0,210.0,283.0,232.0,250.0,255.0,295.0,260.0,234.0,240.0,233.0,228.0,218.0,182.0,248.0,199.0,249.0,229.0,255.0,207.0,240.0,253.0,217.0,224.0,189.0,106.0,196.0,166.0,204.0,205.0,208.0,251.0,260.0,247.0,246.0,236.0,236.0,203.0,441.0,461.0,534.0,595.0,523.0,462.0,387.0,457.0,475.0
DANGEROUS WEAPONS,SYNAGOGUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANGEROUS WEAPONS,TAXI (LIVERY LICENSED),3.0,1.0,3.0,,1.0,1.0,,2.0,1.0,,2.0,,1.0,3.0,,,,2.0,1.0,2.0,1.0,1.0,,3.0,2.0,,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,1.0,,,,,2.0,,1.0,,,2.0,,,,2.0,,2.0,1.0,,,,1.0,,,,1.0,,2.0,1.0,1.0,1.0,,2.0,,,,3.0,1.0,,4.0,1.0
DANGEROUS WEAPONS,TAXI (YELLOW LICENSED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
DANGEROUS WEAPONS,TAXI/LIVERY (UNLICENSED),,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
DANGEROUS WEAPONS,TELECOMM. STORE,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,1.0,,,1.0,,,,,,,,
DANGEROUS WEAPONS,TRANSIT - NYC SUBWAY,29.0,24.0,30.0,18.0,21.0,33.0,15.0,30.0,29.0,11.0,21.0,15.0,25.0,19.0,22.0,19.0,19.0,16.0,15.0,29.0,9.0,14.0,10.0,8.0,17.0,17.0,18.0,15.0,25.0,13.0,13.0,13.0,15.0,14.0,9.0,15.0,30.0,27.0,26.0,18.0,26.0,15.0,16.0,26.0,19.0,19.0,33.0,16.0,24.0,24.0,21.0,24.0,22.0,18.0,16.0,26.0,19.0,22.0,25.0,11.0,30.0,19.0,19.0,24.0,24.0,14.0,23.0,26.0,30.0,24.0,19.0,23.0,78.0,101.0,110.0,88.0,85.0,63.0,49.0,66.0,44.0
DANGEROUS WEAPONS,TRANSIT FACILITY (OTHER),,2.0,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0
DANGEROUS WEAPONS,TUNNEL,,,1.0,,3.0,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,
DANGEROUS WEAPONS,VARIETY STORE,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,2.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,
DANGEROUS WEAPONS,VIDEO STORE,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNLAWFUL POSS. WEAP. ON SCHOOL,PUBLIC SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
UNLAWFUL POSS. WEAP. ON SCHOOL,RESIDENCE - APT. HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
